"IDPOINT_CONNECTION","NAME_POINT_CONNECTION","IDREGION","UUID","GMT_SHIFT","POWER_ACT","POWER_REACT","PK","PXX","SN","IDCTG_SALE","U","R","IDCTG","POWER_ACT_OBRAT","POWER_REACT_OBRAT","TC_OV_IDCHANNEL","LAST_TC_OV","ATS_CODE","KEGOC_CODE","IDTYPE_FIDER","SHORT_NAME","MARKA_PROVODA","LENGTH","LOSS_KORONA","LOSS_TOK","LOSS_PROC","CONST","IXX","UKZ","IDPROCESS"
"153","РУ6кВ Лысенковская: Яч.№07 Резерв","0","{8A951C83-D14C-46B7-A577-4DCDEF65C5C6}",,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"154","РУ6кВ Лысенковская: Яч.№08 Резерв","0","{A981A913-5BD5-4B26-994A-FA23453FDCE8}",,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"155","РУ6кВ Лысенковская: Яч.№13 Резерв","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"156","РУ6кВ Лысенковская: Яч.№14 Резерв","0","{E0C61DF3-8517-4F51-9C33-EFBCA5760D98}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"157","РУ6кВ Лысенковская: Яч.№17 Резерв","0","{9A3AD324-AEB1-4A90-B15A-E44980925300}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"158","РУ6кВ Лысенковская: Яч.№19 Резерв","0","{97616D06-BDC9-46EB-93E9-787B092CFF1C}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"159","РУ6кВ Лысенковская: Яч.№20 Резерв","0","{FF141271-14E5-4B3A-B795-8CF070FE9A04}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"160","РУ6кВ Лысенковская: Яч.№21 Резерв","0","{7F15E1C6-924B-438C-B326-1DC242BAFCBB}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"161","РУ6кВ Лысенковская: Яч.№22 К-1,64,64бис,107,147","0","{C8080F65-B612-4AC9-8F9E-F136E7FFC2B3}",,,,,,,,,,,,,,,,,,,,,,,,,,,"5"
"162","РУ6кВ Лысенковская: Яч.№23 Резерв","0","{D826D62D-886E-46F6-8262-4DE2FEEACB4E}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"163","РУ6кВ Лысенковская: Яч.№24 Резерв","0","{C1115782-B82A-4995-8BA9-579113DC9276}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"164","РУ6кВ Январская: Яч.№01 Резерв","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"165","РУ6кВ Январская: Яч.№02 Резерв","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1720","Точка подключения","0","{95EED4B7-981A-450C-A280-496E756AEE51}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1721","скв. 11044 К-200 водозабор ПЭД-125кВт Ноябрь","0","{ECA41FF6-887F-4FDA-8A53-C73AA13F624D}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1722","ПС35/6кВ Куст-10: Яч.№18  К-40, Р-20","0","{39F0A722-5B10-4121-93A6-EAEA3C49C606}",,,,,,,,,,,,,,,,,,,,,,,,,,,
