"Номера узлов",,"Имя узла начала","Имя узла конца","Обозначение","В Н","Вид","B К","Uном(н) кВ","Pв(н) кВт","Qв(н) квар","Pв(к) кВт","Qв(к) квар","dP кВт","dQ квар","dP %","Pп кВт","Qп квар","Iв(н) А","Iв(к) А","Iдоп А","Кз","Период №","Состояние"
"565-567",,"565","К-31",,"Вкл.","Трансформатор","Вкл.","6,3","207","140","204","123","1,33","5,59","0,642","1,25","11,24","25,4","370","60,6","0,419","0","Сущ"
"565-568",,"565","К-31",,"Вкл.","Трансформатор","Вкл.","6,3","1,25","11,24","0","0","0","0","0","1,25","11,24","1,15","0","60,6","0,019","0","Сущ"
"569-571",,"569","571","Ф-9 Норкин","Вкл.","Линия","Вкл.","6,3","357","226","357","226","0,154","0,197","0,043","0","-0,0104","45,3","45,3","10000","0,00453","0","Сущ"
"569-581",,"569","581","Ф-9 Норкин","Вкл.","Линия","Вкл.","6,3","513","358","501","343","12,14","15,59","2,36","0","-0,363","67","67,1","10000","0,0067","0","Сущ"
"570-572",,"570","572","Ф-21 Норкин","Вкл.","Линия","Вкл.","6,3","502","379","502","379","0,324","0,417","0,0646","0","-0,0109","65,8","65,8","10000","0,00658","0","Сущ"
"570-582",,"570","582","Ф-21 Норкин","Вкл.","Линия","Вкл.","6,3","609","198","598","184","11,14","14,31","1,83","0","-0,353","66,9","66,9","10000","0,00669","0","Сущ"
"570-618",,"570","К-93","Ф-21 Норкин","Вкл.","Линия","Вкл.","6,3","2,54","12,37","2,54","12,69","0,00402","0,00517","0","0","-0,327","1,32","1,35","10000","0,000132","0","Сущ"
"571-574",,"571","К-57бис","Ф-9 Норкин","Вкл.","Линия","Вкл.","6,3","1,12","10,12","1,12","10,15","0,000268","0,000345","0","0","-0,0312","1,09","1,09","10000","0,000109","0","Сущ"
"571-577",,"571","577","Ф-9 Норкин","Вкл.","Линия","Вкл.","6,3","356","216","356","215","0,298","0,383","0,0838","0","-0,0207","44,6","44,6","10000","0,00446","0","Сущ"
"572-573",,"572","573","Ф-21 Норкин","Вкл.","Линия","Вкл.","6,3","2,54","12,64","2,54","12,68","0,000411","0,000528","0","0","-0,0327","1,35","1,35","10000","0,000135","0","Сущ"
"572-578",,"572","К-57","Ф-21 Норкин","Вкл.","Линия","Вкл.","6,3","499","366","498","365","0,629","0,808","0,126","0","-0,0217","64,8","64,8","10000","0,00648","0","Сущ"
"573-576",,"573","К-57бис",,"Вкл.","Трансформатор","Вкл.","6,3","2,54","12,68","0","0","0","0","0","2,54","12,68","1,35","0","96,2","0,0141","0","Сущ"
"573-574",,"573","К-57бис",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"574-575",,"К-57бис","К-57бис",,"Вкл.","Трансформатор","Вкл.","6,3","1,13","10,16","0","0","0","0","0","1,13","10,16","1,1","0,000164","60,6","0,0181","0","Сущ"
"577-580",,"577","К-57",,"Вкл.","Трансформатор","Вкл.","6,3","356","215","351","192","2,31","11,11","0,65","2,41","12,07","44,6","656","96,2","0,463","0","Сущ"
"578-577",,"К-57","577",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"578-579",,"К-57","К-57",,"Вкл.","Трансформатор","Вкл.","6,3","498","365","491","329","4,92","23,7","0,987","2,53","12,64","64,8","957","96,2","0,673","0","Сущ"
"581-583",,"581","583","Ф-9 Норкин","Вкл.","Линия","Вкл.","6,3","497","320","496","319","0,479","0,615","0,0964","0","-0,0147","65,2","65,2","10000","0,00652","0","Сущ"
"581-587",,"581","587","Ф-9 Норкин","Вкл.","Линия","Вкл.","6,3","4,56","22,7","4,56","22,8","0,0029","0,00373","0","0","-0,0577","2,56","2,57","10000","0,000256","0","Сущ"
"582-584",,"582","К-49","Ф-21 Норкин","Вкл.","Линия","Вкл.","6,3","595","172","595","171","0,495","0,635","0,0831","0","-0,0156","66,3","66,3","10000","0,00663","0","Сущ"
"582-588",,"582","К-49бис","Ф-21 Норкин","Вкл.","Линия","Вкл.","6,3","2,42","12,05","2,42","12,11","0,000731","0,000939","0","0","-0,0583","1,32","1,32","10000","0,000132","0","Сущ"
"583-586",,"583","К-49",,"Вкл.","Трансформатор","Вкл.","6,3","496","319","489","284","5,01","24,1","1,01","2,27","11,36","65,2","965","96,2","0,678","0","Сущ"
"584-583",,"К-49","583",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"584-585",,"К-49","К-49",,"Вкл.","Трансформатор","Вкл.","6,3","595","171","587","134","5,22","25,1","0,878","2,42","12,09","66,3","986","96,2","0,689","0","Сущ"
"587-588",,"587","К-49бис",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"587-589",,"587","К-49бис",,"Вкл.","Трансформатор","Вкл.","6,3","2,28","11,39","0","0","0","0","0","2,28","11,39","1,28","0","96,2","0,0133","0","Сущ"
"587-590",,"587","К-49бис",,"Вкл.","Трансформатор","Вкл.","6,3","2,28","11,39","0","0","0","0","0","2,28","11,39","1,28","0","96,2","0,0133","0","Сущ"
"588-591",,"К-49бис","К-49бис",,"Вкл.","Трансформатор","Вкл.","6,3","2,42","12,12","0,0003","-0,000125","0","0","0","2,42","12,12","1,32","0,000521","96,2","0,0137","0","Сущ"
"592-593",,"592","593","Ф-14 Норкин","Вкл.","Линия","Вкл.","6,3","7,59","42,1","7,49","43","0,102","0,131","0","0","-1,05","4,07","4,17","10000","0,000407","0","Сущ"
"592-603",,"592","603","Ф-14 Норкин","Вкл.","Линия","Вкл.","6,3","467","264","465","262","1,96","2,52","0,42","0","-0,13","51,2","51,2","10000","0,00512","0","Сущ"
"593-594",,"593","594","Ф-14 Норкин","Вкл.","Линия","Вкл.","6,3","7,53","43,1","7,53","43,1","0,00131","0,00169","0","0","-0,013","4,18","4,19","10000","0,000418","0","Сущ"
"593-596",,"593","596","Ф-14 Норкин","Вкл.","Линия","Вкл.","6,3","-0,00052","-0,0799","-0,00052","-0,0343","0","0","0","0","-0,0456","0,00765","0,00329","10000","0","0","Сущ"
"594-595",,"594","К-46","Ф-14 Норкин","Вкл.","Линия","Вкл.","6,3","1,41","12,73","1,41","12,75","0,000226","0,00029","0","0","-0,0261","1,23","1,23","10000","0,000123","0","Сущ"
"594-599",,"594","К-46бис","Ф-14 Норкин","Вкл.","Линия","Вкл.","6,3","6,06","30,3","6,06","30,3","0,000788","0,00101","0","0","-0,0156","2,96","2,96","10000","0,000296","0","Сущ"
"595-602",,"К-46","К-46",,"Вкл.","Трансформатор","Вкл.","6,3","1,42","12,75","-0,000328","-0,000855","0","0","0","1,42","12,75","1,23","0,00131","60,6","0,0202","0","Сущ"
"596-597",,"596","МУБР","Ф-14 Норкин","Вкл.","Линия","Вкл.","6,3","0","-0,00651","0","0,00651","0","0","0","0","-0,013","0,000623","0,000623","10000","0","0","Сущ"
"596-598",,"596","КРУН БУ","Ф-14 Норкин","Вкл.","Линия","Вкл.","6,3","0","-0,00977","0","0,00977","0","0","0","0","-0,0195","0,000935","0,000935","10000","0","0","Сущ"
"599-600",,"К-46бис","К-46бис",,"Вкл.","Трансформатор","Вкл.","6,3","3,04","15,18","0","0","0","0","0","3,04","15,18","1,48","0","96,2","0,0154","0","Сущ"
"599-601",,"К-46бис","К-46бис",,"Вкл.","Трансформатор","Вкл.","6,3","3,04","15,18","0","0","0","0","0","3,04","15,18","1,48","0","96,2","0,0154","0","Сущ"
"603-604",,"603","К-41",,"Вкл.","Выключатель","Вкл.","6,3","97,6","65,7","97,6","65,7","0","0","0","0","0","11,28","11,28","-","-","0","Сущ"
"603-606",,"603","К-41",,"Вкл.","Трансформатор","Вкл.","6,3","160","94,4","158","79","0,637","2,68","0,398","1,41","12,7","17,81","257","60,6","0,294","0","Сущ"
"603-607",,"603","607","Ф-14 Норкин","Вкл.","Линия","Вкл.","6,3","207","102","207","102","0,0368","0,0472","0,0177","0","-0,013","22,1","22,1","10000","0,00221","0","Сущ"
"604-605",,"К-41","К-41",,"Вкл.","Трансформатор","Вкл.","6,3","97,7","65,7","96","52","0,242","1,02","0,247","1,41","12,7","11,28","158","60,6","0,186","0","Сущ"
"607-608",,"607","ЗРУ 6 кВ № 1 КП-41","Ф-14 Норкин","Вкл.","Линия","Вкл.","6,3","76,3","35,7","76,3","35,7","0,00684","0,00771","0,00896","0","-0,013","8,08","8,08","10000","0,000808","0","Сущ"
"607-610",,"607","610","Ф-14 Норкин","Вкл.","Линия","Вкл.","6,3","131","66,1","131","66,1","0,052","0,0667","0,0397","0","-0,0454","14,07","14,07","10000","0,00141","0","Сущ"
"608-609",,"ЗРУ 6 кВ № 1 КП-41","609",,"Вкл.","Линия","Вкл.","6,3","76,3","35,7","76,3","35,7","0,00684","0,00771","0,00896","0","-0,013","8,08","8,08","10000","0,000808","0","Сущ"
"609-611",,"609","К-41бис",,"Вкл.","Линия","Вкл.","6,3","76,3","36,2","76,3","36,2","0,0172","0,0221","0,0226","0","-0,0454","8,1","8,1","10000","0,00081","0","Сущ"
"609-614",,"609","614","Ф-5","Вкл.","Линия","Вкл.","6,3","-0,000521","-0,519","-0,000522","-0,000569","0","0","0","0","-0,518","0,0498","0","10000","0","0","Сущ"
"610-613",,"610","К-41бис",,"Вкл.","Трансформатор","Вкл.","6,3","111","58,8","108","43","0,152","0,728","0,136","3,02","15,09","12,07","168","96,2","0,125","0","Сущ"
"610-611",,"610","К-41бис",,"Вкл.","Выключатель","Вкл.","6,3","19,74","7,29","19,74","7,29","0","0","0","0","0","2,02","2,02","-","-","0","Сущ"
"611-612",,"К-41бис","К-41бис",,"Вкл.","Трансформатор","Вкл.","6,3","96","43,5","92,9","27,9","0,105","0,506","0,11","3,02","15,09","10,11","140","96,2","0,105","0","Сущ"
"615-151",,"615","К-15",,"Вкл.","Трансформатор","Вкл.","6,3","112","109","110","96","0,506","2,13","0,453","1,22","10,96","16,11","229","60,6","0,266","0","Сущ"
"615-70",,"615","70",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"617-232",,"617","232",,"Вкл.","Трансформатор","Вкл.","6,3","9,78","263","6,92","34,4","0,000177","0,00865","0","2,86","229","23,6","3,15","1400","0,0169","0","Сущ"
"618-619",,"К-93","К-93",,"Вкл.","Трансформатор","Вкл.","6,3","2,54","12,69","0,000151","0","0","0","0","2,54","12,69","1,35","0,000255","96,2","0,0141","0","Сущ"
"620-144",,"620","К-17",,"Вкл.","Трансформатор","Вкл.","6,3","183","141","181","124","0,954","4,02","0,52","1,46","13,18","21,8","314","60,6","0,359","0","Сущ"
"620-47",,"620","47",,"Вкл.","Выключатель","Вкл.","6,3","-183","-141","-183","-141","0","0","0","0","0","21,8","21,8","-","-","0","Сущ"
