"Номера узлов",,"Имя узла начала","Имя узла конца","Обозначение","В Н","Вид","B К","Uном(н) кВ","Pв(н) кВт","Qв(н) квар","Pв(к) кВт","Qв(к) квар","dP кВт","dQ квар","dP %","Pп кВт","Qп квар","Iв(н) А","Iв(к) А","Iдоп А","Кз","Период №","Состояние"
"91-81",,"91","81",,"Вкл.","Линия","Вкл.","6","848","-141","848","-142","0,44","0,565","0,0519","0","-0,015","76,6","76,6","10000","0,00766","0","Сущ"
"92-94",,"ПС 35 кВ Абазаров","1 СШ",,"Вкл.","Трансформатор","Вкл.","35","3036","2857","3009","2684","4,82","45,1","0,159","22,2","127","64,5","349","264","0,244","0","Сущ"
"93-95",,"93","2 СШ",,"Вкл.","Трансформатор","Вкл.","35","3817","4200","3786","3987","8,98","84","0,235","22,3","128","87,5","477","264","0,331","0","Сущ"
"94-58",,"1 СШ","58","Ф-5 Абазаров","Вкл.","Линия","Вкл.","6,3","1563","1402","1446","1253","117","150","7,46","0","-0,683","182","182","10000","0,0182","0","Сущ"
"94-60",,"1 СШ","60","Ф-9 Абазаров","Вкл.","Линия","Вкл.","6,3","500","425","473","392","27","34,6","5,39","0","-1,65","56,9","56,9","10000","0,00569","0","Сущ"
"94-154",,"1 СШ","154","Ф-18 Абазаров","Вкл.","Линия","Вкл.","6,3","946","857","931","838","14,66","18,84","1,55","0","-0,25","111","111","10000","0,0111","0","Сущ"
"95-94",,"2 СШ","1 СШ",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"95-108",,"2 СШ","108","Ф-19 Абазаров","Вкл.","Линия","Вкл.","6,3","1146","1266","1104","1211","42,9","55,1","3,74","0","-0,398","148","148","10000","0,0148","0","Сущ"
"95-59",,"2 СШ","К-95","Ф-15 Абазаров","Вкл.","Линия","Вкл.","6,3","302","162","294","154","7,43","9,54","2,46","0","-1,72","29,7","29,8","10000","0,00297","0","Сущ"
"95-72",,"2 СШ","72","Ф-8","Вкл.","Линия","Вкл.","6,3","2338","2559","2250","2446","88","113","3,76","0","-0,198","300","300","10000","0,03","0","Сущ"
"96-98",,"ПС 35 кВ Кузьмин","1 СШ",,"Вкл.","Трансформатор","Вкл.","35","3166","2383","3140","2220","4,68","43,8","0,148","20,8","119","63,3","344","264","0,24","0","Сущ"
"97-99",,"97","2 СШ",,"Вкл.","Трансформатор","Вкл.","35","2437","2137","2412","1984","2,93","27,4","0,12","21,8","125","50,5","272","264","0,191","0","Сущ"
"98-209",,"1 СШ","209","Ф-9","Вкл.","Линия","Вкл.","6,3","196","195","195","195","0,229","0,294","0,117","0","-0,0743","24,7","24,7","10000","0,00247","0","Сущ"
"98-222",,"1 СШ","222","Ф-10","Вкл.","Линия","Вкл.","6,3","10,25","61","10,25","61,1","0,0023","0,00296","0,0224","0","-0,0149","5,54","5,54","10000","0,000554","0","Сущ"
"98-237",,"1 СШ","237","Ф-5","Вкл.","Линия","Вкл.","6,3","1095","593","1071","563","23,8","30,5","2,17","0","-0,369","111","111","10000","0,0111","0","Сущ"
"98-265",,"1 СШ","265","Ф-2","Вкл.","Линия","Вкл.","6,3","1840","1371","1543","990,7","297","381","16,12","0","-1,14","205","205","10000","0,0205","0","Сущ"
"99-98",,"2 СШ","1 СШ",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
