IDOBJECT,NAME_OBJECT,IDTYPE_OBJECT,UUID,GMT_SHIFT,CONTROL_POWER,INZONE_ONLY,CONTROL_HOLES,CONTROL_HOUR,TARIF,IDCTG,DAYLIGHT,IDTGROUP,IDMAXPOWER,SHORT_NAME
154,Счетчики,3,{4378194E-90BF-4B3D-8B99-31F547693AC1},,0,False,,,,,False,,,
172,РУ6кВ №2 КНС,2,{FFC771B7-A71B-4BB5-9604-2D9C8DC18158},,0,False,,,,,False,,,
173,РУ6кВ УПН-1,2,{2CCB5AC2-095D-4AE7-80CE-0E9AE8F2A56D},,0,False,,,,,False,,,
174,"ООО ""ЮЭС"" Ачимовское м/р",1,{109292E3-549C-405B-910C-7A8305408E60},,0,,,,,,False,,,
175,ПС35/6кВ Ачимовская-1,2,{D9E4FF38-4E94-4449-B2AC-E3471A95FE3A},,0,,,,,,False,,,
176,ПС35/6кВ Ачимовская-2,2,{69337825-34A5-4C42-A7C5-E6572F859DF4},,0,,,,,,False,,,
177,РУ6кВ ДНС-1,2,{96960F5E-BE42-4CD9-AB4E-67CCE241ED98},,0,False,,,,,False,,,
178,РУ6кВ КНС-1,2,{A842AF10-47AB-48FD-8729-03C4D87F2091},,0,False,,,,,False,,,
201,"ООО ""ЮЭС"" Зап.Усть-Балыкское м/р",1,,,0,,,,,,,,,
202,ЗРУ-6кВ ДНС-1,2,,,0,,,,,,,,,
204,Счетчики,3,{E9714431-32D1-47FA-868F-4B815FC94BDF},,0,False,,,,,True,,,
227,"ПС 35/6 кВ ""Куст-1""",2,,,0,,,,,,,,,
235,Счетчики,3,{8A368C0B-6DB8-4756-BBD6-4B82B92FA216},,0,False,,,,,True,,,
266,ПС 6/35кВ Касаев,2,,,0,,,,,,,,,
274,Счетчики,3,{47957528-FD4B-479C-8CC1-78138D70622C},,0,False,,,,,True,,,
297,РУ 6кВ БКНС,2,,,0,,,,,,,,,
299,Счетчики,3,{EBADD7BB-1ABD-4BDF-8F55-D0BAC379385F},,0,False,,,,,True,,,
319,"ООО ""ЮЭС"" Чистинное м/р",1,{41A16456-D2C1-49F2-9F5A-B03BAF6579D2},,0,False,,,,,False,,,
320,ПС110/35/6кВ Чистинная ЗРУ 6кВ,2,{DF2AAD2A-1EC0-4561-B40C-B96431C2D633},,0,False,,,,,False,,,
321,ПС110/35/6кВ Чистинная ОПУ 110/35кВ,2,{BE40E6F4-C748-42F7-A4FE-88B893FC0CEA},,0,False,,,,,False,,,
322,ПС35/6кВ Куст-4,2,{188A798A-E6F8-48F6-9D36-CB783BAAF230},,0,False,,,,,False,,,
323,РУ-6 кВ энергоцентра ГПЭС,2,,,0,,,,,,False,,,
325,Счетчики,3,{B51B1854-0912-4D04-A329-A97455CFCA0A},,0,False,,,,,False,,,
345,РУ6кВ ДНС,2,{674BB310-676F-4B9F-A317-99853293A1AA},,0,False,,,,,False,,,
369,счетчики,3,{948A98B9-9DDC-4F6B-BBCF-B09CCDAB85B2},,0,False,,,,,False,,,
370,Передвижные бригады,1,,,0,,,,,,,,,
372,Реклоузер,1,{A77CBCD2-0AE2-4236-86EE-C203AB6C2531},,0,,,,,,,,,
373,"РЖД ПС 35/10кВ ""Мегион""",1,,,0,,,,,,,,,
374,СР №01 (Город) (импорт из MET),1,{DBCB77FA-C4A9-493B-9BFB-1F88E54DEF17},,0,False,,,,,,,,
375,ПС35/10кВ ЛПХ,2,{D323A6EC-6739-47DB-98F0-91F18999D661},,0,False,,,,,,,,
376,ПС35/6кВ Геолог,2,{8DF464B1-72F4-4CB2-88FB-AF5B2C159461},,0,False,,,,,,,,
377,ПС35/6кВ Город,2,{788DE05D-C6DF-45BC-836D-21DA4D4FA915},,0,False,,,,,,,,
378,ПС35/6кВ Заречная,2,{EB8C2D54-450C-4948-B1AD-7A1EF732EC40},,0,False,,,,,,,,
379,ПС35/6кВ Котельная,2,{A20C6612-37B1-4E7D-A361-3DC95D84EA70},,0,False,,,,,,,,
380,ПС35/6кВ Северная,2,{8CABD9BD-20D8-49B1-AF76-ED67C0B76C7C},,0,False,,,,,,,,
381,СР №1 (Ватинское м/р),1,{2E64C292-7EA1-4FB9-AF96-C8DC310C7025},,0,,,,,,False,,,
382,"ПС 110/35/6 кВ ""Ватинская""",2,,,0,,,,,,False,,,
383,"ПС 35/6кВ ""Куст-220""",2,,,0,,,,,,False,,,
396,Счетчики,3,{332BB9B8-AA06-4712-B16F-5BEA0EAFA5C0},,0,False,,,,,False,,,
412,"ПС 35/6кВ ""Куст-47"" новая",2,,,0,,,,,,,,,
439,ПС220/110/35кВ Кирьяновская,2,{23B7CC88-0D9A-4A77-B856-4AB29621B109},,0,,,,,,False,,,
440,ПС35/6кВ БПТОиКО,2,{06865A22-C2FC-4312-8A89-C7A506416ABC},,0,,,,,,False,,,
443,ПС35/6кВ ДНС-2,2,{A9CF9F67-BF88-4836-B06A-ED20D4D9B012},,0,,,,,,False,,,
445,ПС35/6кВ ДНС-2 Мыхпай,2,{B8872F49-A45A-4365-B954-D46F73DCAEA0},,0,,,,,,False,,,
447,ПС35/6кВ КНС-3В,2,{D569FF55-5D45-4B89-B555-A94BBC72016D},,0,,,,,,False,,,
449,ПС35/6кВ КНС-4,2,{6E8C3E57-DB43-40E8-A2C8-43BA5F0F3C8A},,0,,,,,,False,,,
451,ПС35/6кВ КНС-5,2,{65B24ACC-E74F-46EE-837A-BEA10ACD855F},,0,,,,,,False,,,
453,ПС35/6кВ КНС-8,2,{4DD4C570-BC9F-4625-B5E6-541B35139226},,0,,,,,,False,,,
455,ПС35/6кВ Куст-120,2,{29CC981D-7BA4-499B-ABCA-3EA626F99633},,0,,,,,,False,,,
458,ПС35/6кВ Куст-211,2,{8E768895-92C0-40E0-B0E9-CDF43B859A51},,0,,,,,,False,,,
461,ПС35/6кВ Куст-47 Старая,2,{1A8B8D3C-412A-4921-AE39-5B042326CFCA},,0,,,,,,False,,,
464,ПС35/6кВ Куст-53,2,{F3C6034B-8340-45C2-BE27-FF641A75C80A},,0,,,,,,False,,,
465,РУ6кВ ДНС-1,2,{DDCF09B1-E861-4DC7-9A2D-F7786C9363C7},,0,,,,,,False,,,
466,РУ6кВ ДНС-2,2,{55B15EA8-F6E3-4795-8D22-87A815F28B1F},,0,False,,,,,False,,,
467,РУ6кВ ДНС-2 Мыхпай,2,{B48C9F3A-337B-4A90-95CA-823803CDCB77},,0,,,,,,False,,,
468,РУ6кВ КНС-3В,2,{643D540B-E433-4E65-9465-F28E331A41A5},,0,False,,,,,False,,,
469,РУ6кВ КНС-4,2,{FA208008-5F39-417C-B18F-AEA50FCC48C3},,0,False,,,,,False,,,
470,РУ6кВ КНС-8,2,{7EB71C93-16EB-4B32-B8CE-7FD6DF0841B2},,0,False,,,,,False,,,
471,РУ6кВ КНС-9,2,{4A4B46C9-EF82-4BA8-B7C7-EEAFFADFA1AC},,0,,,,,,False,,,
472,СР №1 (Город),1,{D0346F80-7A29-42AA-AE9A-9A10A00ED53A},5.0,0,,,,,,False,,,
473,ПС110/35/6кВ Мартыновская,2,{DAD5517E-7702-4161-B4A7-A3EA86CD2114},5.0,0,,,,,,False,,,
474,ПС35/6кВ ВЦТП,2,{2756FA87-B851-401E-BCF2-0E9F1871AB65},5.0,0,,,,,,False,,,
476,ПС35/6кВ КРС,2,{4B969A7C-3C1B-4842-A910-902056CE8C7C},5.0,0,,,,,,False,,,
