Подразделение,Электроустановка,Подразделение_num,type,primitiveName,node_name
с/р №5,"ПС 35/6 кВ Западно-Аганская, Тр-р 35/6 кВ №2 (; ; 0)",5,ПС 35/6 кВ,eeSubstation,Западно-Аганская
с/р №5,"ПС 35/6 кВ КНС-1А, Тр-р 35/6 кВ №2 (; ПБВ; 0)",5,ПС 35/6 кВ,eeSubstation,КНС-1А
с/р №5,"ПС 35/6 кВ КНС-2, Тр-р 35/6 кВ №1 (; ; 0)",5,ПС 35/6 кВ,eeSubstation,КНС-2
с/р №5,"ПС 35/6 кВ КНС-2, Тр-р 35/6 кВ №2 (; ; 0)",5,ПС 35/6 кВ,eeSubstation,КНС-2
с/р №5,РУ 6 кВ №1,5,РУ 6 кВ,eeRu,№1
с/р №5,"ПС 35/6 кВ КНС-3А, Тр-р 35/6 кВ №1 (; ; 0)",5,ПС 35/6 кВ,eeSubstation,КНС-3А
с/р №5,"ПС 35/6 кВ Промысловая-1, Тр-р 35/6 кВ №1 (; ; 0)",5,ПС 35/6 кВ,eeSubstation,Промысловая-1
с/р №5,РУ 6 кВ ДНС-1ЮА,5,РУ 6 кВ,eeRu,ДНС-1ЮА
с/р №5,РУ 6 кВ КНС-2ЮА,5,РУ 6 кВ,eeRu,КНС-2ЮА
с/р №5,КРУН 6 кВ ДНС-3,5,КРУН 6 кВ,eeKrun,ДНС-3
с/р №5,РУ 6 кВ Январское,5,РУ 6 кВ,eeRu,Январское
с/р №5,"ПС 35/6 кВ КНС-3А, Тр-р 35/6 кВ №2 (; ; 0)",5,ПС 35/6 кВ,eeSubstation,КНС-3А
с/р №6,"ПС 35/6 кВ Баграс, Тр-р 35/6 кВ №1 (; ПБВ; 0)",6,ПС 35/6 кВ,eeSubstation,Баграс
с/р №6,"ПС 35/6 кВ ДНС-2М, Тр-р 35/6 кВ №1 (; ПБВ; 0)",6,ПС 35/6 кВ,eeSubstation,ДНС-2М
с/р №6,РУ 6 кВ ГУ-4,6,РУ 6 кВ,eeRu,ГУ-4
с/р №6,"ПС 35/6 кВ Баграс, ТР-р 35/6 кВ №2 (; ПБВ; 0)",6,ПС 35/6 кВ,eeSubstation,Баграс
с/р №6,РУ 6 кВ №2,6,РУ 6 кВ,eeRu,№2
с/р №6,РУ-6 кВ КНС-3А,6,,,
с/р №6,"ПС 35/6 кВ Куст-8, Тр-р 35/6 кВ №1 (; ; 0)",6,ПС 35/6 кВ,eeSubstation,Куст-8
с/р №6,"ПС 35/6 кВ Куст-8, Тр-р 35/6 кВ №2 (; ; 0)",6,ПС 35/6 кВ,eeSubstation,Куст-8
с/р №6,"ПС 35/6 кВ Куст-13, Тр-р 35/6 кВ №1 (; ; 0)",6,ПС 35/6 кВ,eeSubstation,Куст-13
с/р №6,"ПС 35/6 кВ Мыхпай, Тр-р 35/6 кВ №1 (; ПБВ; 0)",6,ПС 35/6 кВ,eeSubstation,Мыхпай
с/р №6,"ПС 35/6 кВ КНС-3м, Тр-р 35/6 кВ №1 (; ПБВ; 0)",6,ПС 35/6 кВ,eeSubstation,КНС-3м
с/р №6,"ПС 35/6 кВ Мыхпай, Тр-р 35/6 кВ №2 (; ПБВ; 0)",6,ПС 35/6 кВ,eeSubstation,Мыхпай
с/р №6,"ПС 35/6 кВ КНС-3м, Тр-р 35/6 кВ №2 (; ПБВ; 0)",6,ПС 35/6 кВ,eeSubstation,КНС-3м
с/р №6,"ПС 35/6 кВ ДНС-2М, Тр-р 35/6 кВ №2 (; ПБВ; 0)",6,ПС 35/6 кВ,eeSubstation,ДНС-2М
с/р №6,"ПС 35/6 кВ Насыровская, Тр-р 35/6 кВ №1 (; ПБВ; 0)",6,ПС 35/6 кВ,eeSubstation,Насыровская
с/р №6,"ПС 35/6 кВ Новая, Тр-р 35/6 кВ №1 (; ПБВ; 0)",6,ПС 35/6 кВ,eeSubstation,Новая
с/р №6,"ПС 35/6 кВ Новая, Тр-р 35/6 кВ №2 (; ПБВ; 0)",6,ПС 35/6 кВ,eeSubstation,Новая
с/р №6,"ПС 35/6 кВ Куст-13, Тр-р 35/6 кВ №2 (; ; 0)",6,ПС 35/6 кВ,eeSubstation,Куст-13
с/р №7,"ПС 35/6 кВ Островная, ТР-р 35/6 кВ №2 (; ПБВ; 0)",7,ПС 35/6 кВ,eeSubstation,Островная
с/р №7,"ПС 35/6 кВ Куст-1, Тр-р 35/6 кВ №1 (; ПБВ; 0)",7,ПС 35/6 кВ,eeSubstation,Куст-1
с/р №7,РУ 6 кВ Ново-Покурское,7,РУ 6 кВ,eeRu,Ново-Покурское
с/р №7,"ПС 35/6 кВ БКНС-2, Тр-р 35/6 кВ №1 (; ПБВ; 0)",7,ПС 35/6 кВ,eeSubstation,БКНС-2
с/р №7,"ПС 35/6 кВ БКНС-2, Тр-р 35/6 кВ №2 (; ПБВ; 0)",7,ПС 35/6 кВ,eeSubstation,БКНС-2
с/р №7,"ПС 35/6 кВ Кедровая, Тр-р 35/6 кВ №1 (; ПБВ; 0)",7,ПС 35/6 кВ,eeSubstation,Кедровая
с/р №7,"ПС 35/6 кВ Кедровая, Тр-р 35/6 кВ №2 (; ПБВ; 0)",7,ПС 35/6 кВ,eeSubstation,Кедровая
с/р №7,РУ 6 кВ УПН,7,РУ 6 кВ,eeRu,УПН
с/р №7,"ПС 35/6 кВ Куст-2, ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",7,ПС 35/6 кВ,eeSubstation,Куст-2
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №2 (; ПБВ; 0)",7,ПС 35/6 кВ,eeSubstation,Куст-78
с/р №7,"ПС 35/6 кВ Куст-2, ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",7,ПС 35/6 кВ,eeSubstation,Куст-2
с/р №7,"ПС 35/6 кВ Куст-1, Тр-р 35/6 кВ №2 (; ПБВ; 0)",7,ПС 35/6 кВ,eeSubstation,Куст-1
